Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/6/2021 22:40:58,Software engineer / developer,Wind energy,colleague,Most days,0,3,2,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),4,1 (least),2,3,Most days,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Never,Never,,Never,Never,Never,Never,Never,,3,,,Somewhat useful,Somewhat useful,Not relevant,Somewhat useful,Very useful,,,,,,,,,,,,,,,,,,
1/6/2021 22:51:41,"Domain scientist / researcher, Software engineer / developer",Geosciences,Mailing list,Most days,1,1,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",4,5 (most),3,2,1 (least),Most days,,Regularly (~weekly),,Most days,Regularly (~weekly),,Most days,,Most days,,,,,,,,,,3,"pandas, numpy",,Somewhat useful,Critical,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Critical,Critical,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,,,,4 (lowest priority),1 (highest priority),3,2,,
1/6/2021 22:51:55,Domain scientist / researcher,Geosciences,Friend,Most days,3,2,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,2,1 (least),,,Most days,,Most days,Regularly (~weekly),Most days,Most days,,Occasionally (~monthly),,,,,,,,,,3,,,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Not interested,Somewhat interested,Very interested,Somewhat interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 22:55:50,Software engineer / developer,"Geosciences, Statistics & Machine Learning",Mailing list,Regularly (~weekly),1,1,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (http://xarray.pydata.org/),4,5 (most),2,1 (least),3,Regularly (~weekly),,,Most days,Regularly (~weekly),Most days,,Regularly (~weekly),Most days,Regularly (~weekly),,,,,,,,,,2,"zarr, numpy",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Critical,Very useful,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 23:00:58,Student,"Geosciences, Statistics & Machine Learning",Friend,Occasionally (~monthly),2,1,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,3,1 (least),2,Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),Never,Most days,Never,Never,Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,,1,,,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Critical,Not interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 23:15:20,"Educator, Domain scientist / researcher",Geosciences,Mailing list,Most days,7,3,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",4,5 (most),3,2,,Most days,Regularly (~weekly),Never,Never,Most days,Occasionally (~monthly),Regularly (~weekly),Most days,Never,Never,Occasionally (~monthly),,,,,,,,,3,"cartopy, geoviews",,,,Very useful,,Somewhat useful,,Very useful,Somewhat useful,Very useful,Very useful,,Somewhat interested,Somewhat interested,Very interested,Very interested,Very interested,unyt backed arrays; Pint can be fairly slow,2,1 (highest priority),3,4 (lowest priority),,
1/6/2021 23:37:37,"Domain scientist / researcher, Software engineer / developer",Geosciences,Friend,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Most days,Never,Regularly (~weekly),Never,Most days,Most days,Never,Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,Never,,3,"dask, scipy, pyproj, rasterio, geopandas, shapely","More advanced geospatial data support, easier subclassing of the dataset object",Somewhat useful,Somewhat useful,Not relevant,Very useful,Critical,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Not relevant,Not interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,4 (lowest priority),2,3,1 (highest priority),,
1/6/2021 23:42:01,"Educator, Domain scientist / researcher, Data scientist, Software engineer / developer, System administrator","Geosciences, Statistics & Machine Learning",Mailing list,Most days,4,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Most days,Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Regularly (~weekly),Most days,Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,,,3,"dask, pandas, holoviews",,Very useful,Very useful,Somewhat useful,Critical,Critical,Critical,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,2,4 (lowest priority),3,1 (highest priority),,
1/6/2021 23:51:28,Domain scientist / researcher,"Biosciences, Statistics & Machine Learning",Image.sc,Occasionally (~monthly),0,0,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (http://xarray.pydata.org/),2,1 (least),3,,,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Never,Most days,,,2,"Dask, pytorch, cellpose, scikit, numpy pandas, omero",Interaction mit omero,Not relevant,Not relevant,Very useful,Very useful,Not relevant,Somewhat useful,Somewhat useful,Somewhat useful,,Somewhat useful,Very useful,Very interested,Not interested,Very interested,Not interested,,Bioformats,,,,,,
1/6/2021 23:54:23,Domain scientist / researcher,"Geosciences, Renewable energy",Friend,Most days,2,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",5 (most),4,1 (least),3,2,Regularly (~weekly),Never,Most days,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,,3,"pandas, matplotlib",The ability to use data selection based on 2D/3D coordinate arrays.,Somewhat useful,Very useful,Very useful,Very useful,Critical,Critical,Not relevant,Somewhat useful,Not relevant,Very useful,Not relevant,Not interested,Not interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),1 (highest priority),3,2,,
1/6/2021 23:57:52,Domain scientist / researcher,Geosciences,Friend,Most days,2,2,2,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",3,4,1 (least),2,5 (most),Regularly (~weekly),Never,Most days,Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,1,pandas,,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 0:08:09,"Domain scientist / researcher, Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Twitter,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Most days,,Most days,,Regularly (~weekly),Most days,,Most days,,Occasionally (~monthly),,,,,,,,,,3,"numpy, scipy, xesmf, matplotlib, cartopy",A solid integration of grid management.,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Very useful,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Very interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/7/2021 0:10:26,"Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Twitter,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,3,2,1 (least),Most days,Regularly (~weekly),Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Most days,Occasionally (~monthly),Most days,Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Most days,,,3,"pandas, dask, numba",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/7/2021 0:20:19,Domain scientist / researcher,Geosciences,Mailing list,Regularly (~weekly),3,2,1,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,3,2,1 (least),Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Regularly (~weekly),Never,,3,,,"Somewhat useful, Very useful",Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 0:24:10,"Student, Educator, Domain scientist / researcher",Geosciences,Twitter,Most days,7,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,3,2,1 (least),Regularly (~weekly),Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Never,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Most days,Never,,2,"dask, pandas, numpy, proplot, cartopy, matplotlib, xesmf, intake-esm, nc-time-axis","- Dealing with units.

- Better deal with geospatial and geosciences operations: climatology taking into account the calendar, annual cycles, spatial average taking into account the weights or make a weight with the latitude, etc. (I have a few function to deal with monthly data here that would need to be improved, but I'd love to have these kind of function natively in xarray, adapting to the frequency of the data/calendar : https://github.com/mickaellalande/PhD/blob/master/utils/clim.py), all these would need to be well documented and warmed when lauching the code for knowing what we do, with some option to make it available or not. The weighted function is already a big improvement, but doesn't work with complex operations. Making a copy of the CDO (Climate Data Operators) would be the best I guess!

- Supporting geospatial regridding in particular with xesmf for example or anything else native that takes into account the sphericity of earth (not like the scipy one implemented right now).

- Better plot support ? I don't know if it's the goal of xarray, but so far I use the plot just for quick overview but never for making real figures. I actually use proplot right now that have way better option than matplotlib I find, but it's in a early stage development. But I would love to have an esay way of making projection, etc. without having to import cartopy and complex formater. Just as in proplot: proj='cyl' makes it work (with cartopy and matplotlib under the hood: https://proplot.readthedocs.io/en/latest/projections.html). 

Otherwise thanks for this package, it just changed my life and make my work way more efficient! The combination with dask is also super easy even if I don't need to use that feature everyday I'm just amazed compared to some old Fortran code from my supervisors haha!",Critical,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Somewhat useful,Very useful,Very useful,Not relevant,Not interested,Not interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 0:25:04,Domain scientist / researcher,Geosciences,Mailing list,Most days,4,2,2,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Github Discussions",4,5 (most),3,1 (least),2,Regularly (~weekly),Occasionally (~monthly),Most days,Never,Most days,Occasionally (~monthly),Most days,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,3,"numpy, cartopy, basemap, matplotlib, dask, seaborn, xesmf, scipy",From time to time xarray behaves unexpectedly during computations where the dimensions of two data-arrays match but the metadata labels do not (e.g. when the zonal dimension is called 'x' in one and 'lon' in the other). Some sort of warning could often save time.,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Not interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/7/2021 0:26:02,"Data scientist, Software engineer / developer",Geosciences,Twitter,Most days,2,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,2,1 (least),Most days,Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"dask, pandas, argopy, matplotlib, numpy",,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Not relevant,Not relevant,Somewhat useful,Very useful,Not interested,Somewhat interested,Very interested,Not interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 0:38:59,Domain scientist / researcher,Geosciences,Twitter,Regularly (~weekly),3,4,3,Yes,Documentation (http://xarray.pydata.org/),5 (most),4,3,2,1 (least),,,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),,Regularly (~weekly),,,,,,,,,Occasionally (~monthly),,,2,"pandas, seaborn, pytorch, scikit-learn","being faster, knowing when it is much slower than numpy, so I an switch to numpy for specific tasks",Somewhat useful,Somewhat useful,Not relevant,Very useful,Critical,,,,Somewhat useful,,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,,,,3,4 (lowest priority),2,1 (highest priority),,
1/7/2021 0:39:28,"Domain scientist / researcher, Software engineer / developer",Geosciences,Friend,Regularly (~weekly),0,1,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (http://xarray.pydata.org/),5 (most),3,4,1 (least),2,Never,Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,,,Critical,Critical,Somewhat useful,Somewhat useful,Very useful,Very useful,Not relevant,Very useful,Somewhat useful,Very useful,Very useful,Very interested,Somewhat interested,Very interested,Not interested,Not interested,,2,4 (lowest priority),3,1 (highest priority),,
1/7/2021 0:51:20,Data scientist,Geosciences,Friend,Regularly (~weekly),1,1,2,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),3,1 (least),2,4,Never,Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Never,Never,,1,"pandas, matplotlib",Faster reading of WRF output files.,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Not relevant,Very useful,Very useful,Somewhat useful,Not relevant,Not interested,Not interested,Somewhat interested,Somewhat interested,Not interested,,2,1 (highest priority),3,4 (lowest priority),,
1/7/2021 0:52:59,"Educator, Domain scientist / researcher, Data scientist",Geosciences,Twitter,Most days,2,3,2,Yes,Documentation (http://xarray.pydata.org/),4,5 (most),3,1 (least),2,Most days,Never,Regularly (~weekly),Never,Most days,Regularly (~weekly),,Most days,,Most days,Occasionally (~monthly),,Occasionally (~monthly),,,,,,,4,"numpy, ObsPy, own packages, ",Ability to access the parent Dataset from the child DataArray. I often copy over metadata from the parent Dataset to a contained DataArray so that custom processing or plotting routines can make use of information in the metadata.,Critical,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Very interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/7/2021 1:01:16,Student,Geosciences,Mailing list,Regularly (~weekly),1,1,0,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",4,5 (most),1 (least),2,3,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Never,Most days,Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,,,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Not relevant,Critical,Somewhat useful,Somewhat interested,Not interested,Not interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 1:05:54,"Educator, Data scientist",Material science ,Mailing list,Occasionally (~monthly),1,1,0,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,3,5 (most),2,1 (least),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Most days,Never,Never,Never,Never,Never,,4,,,Not relevant,Critical,Critical,"Not relevant, Very useful",Not relevant,Somewhat useful,Critical,Not relevant,Somewhat useful,Very useful,Somewhat useful,Very interested,Not interested,Very interested,Not interested,Not interested,,1 (highest priority),2,3,4 (lowest priority),,
1/7/2021 1:25:53,Domain scientist / researcher,Geosciences,Mailing list,Regularly (~weekly),5,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,1 (least),2,3,Regularly (~weekly),Occasionally (~monthly),,,Regularly (~weekly),Never,Occasionally (~monthly),Occasionally (~monthly),,,,,,,,,,,,3,"Pandas, cartopy, matplotlib, numpy","Dealing with circular coordinates, integration with cartopy for plotting.",Very useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Critical,Not relevant,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Not interested,Not interested,Not interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 1:30:29,"Student, Educator",Geosciences,Twitter,Most days,3,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Most days,Most days,Never,Never,Most days,Most days,Never,Most days,Never,Most days,Most days,Most days,Never,Most days,Regularly (~weekly),Never,Never,Never,,3,"dask, pandas, matplotlib, numpy, scipy, rasterio","If the parallelization was easier controllable in terms of number of cores used (also of those libraries used under the hood like dask), if xarray was (even) faster in processing (e.g. comparable to numpy in speed)",Very useful,Somewhat useful,Very useful,Critical,Critical,Very useful,Very useful,Critical,Critical,Very useful,Critical,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/7/2021 1:51:07,Domain scientist / researcher,Geosciences,Mailing list,Most days,2,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,1 (least),2,3,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Regularly (~weekly),Most days,Never,Most days,Occasionally (~monthly),,Never,Never,Never,Never,Never,Never,Never,,,3,"dask, xrft",,Critical,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Critical,Not relevant,Somewhat useful,Not relevant,Very interested,Not interested,Somewhat interested,Very interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/7/2021 1:58:55,Domain scientist / researcher,Geosciences,Mailing list,Most days,2,2,2,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",2,4,5 (most),1 (least),3,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Regularly (~weekly),Never,Never,Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Never,,3,"dask, scipy, matplotlib cartopy","simplify apply_ufunc and make it more powerful (e.g. by having access easily to what is going on inside, for debugging purpose) or have more scipy functions connected to xarray/dask (probably through independent libraries, e.g. xrscipy)",Somewhat useful,Very useful,Very useful,Somewhat useful,,Somewhat useful,Not relevant,Not relevant,,Critical,Not relevant,Not interested,Not interested,Very interested,Not interested,Not interested,,3,4 (lowest priority),1 (highest priority),2,,
1/7/2021 2:11:33,Domain scientist / researcher,Geosciences,Twitter,Most days,5,4,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),2,4,3,1 (least),Most days,Most days,Most days,,Most days,Most days,,Most days,,,Most days,Most days,Most days,Most days,,,,,,3,"dask, pandas, numpy, scipy, ", If they could offer additional webinars ,,Very useful,Critical,Somewhat useful,Not relevant,Very useful,Somewhat useful,Not relevant,Not relevant,Critical,Critical,Not interested,Somewhat interested,Very interested,Not interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/7/2021 2:42:32,Domain scientist / researcher,Geosciences,Mailing list,Regularly (~weekly),2,2,3,No,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",3,4,5 (most),2,1 (least),Occasionally (~monthly),Never,Most days,Never,Most days,Occasionally (~monthly),Most days,Most days,Never,Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Never,Never,Never,,,4,"""dask"", ""metpy""",less bugs when using xarray with dask,Critical,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Very useful,Not relevant,Not interested,Somewhat interested,Very interested,Somewhat interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 2:56:17,Domain scientist / researcher,Geosciences,Twitter,Most days,5,2,4,Yes,Documentation (http://xarray.pydata.org/),5 (most),3,4,1 (least),2,Most days,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Most days,Regularly (~weekly),Most days,Most days,Most days,Never,Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),,,4,"dask, dask-ml, scikit-learn, cartopy, intake, gcsfs",,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Critical,Somewhat useful,Critical,Somewhat interested,Very interested,Very interested,Not interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/7/2021 2:57:07,Domain scientist / researcher,Geosciences,Friend,Most days,2,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,3,2,1 (least),Most days,Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Most days,,Most days,,,,,,,,,,,,3,,,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,"Somewhat useful, Very useful",Somewhat useful,Somewhat useful,Very interested,Somewhat interested,Very interested,Very interested,,,1 (highest priority),4 (lowest priority),2,3,,
