Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]","What common feature requests do you care about most? [New data structures (e.g. lightweight labeled array, tree-like dataset)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:"
6/1/2022 14:21:39,"Domain scientist / researcher, Data scientist, Software engineer / developer","Statistics & Machine Learning, Semiconductors",GitHub,Regularly (~weekly),2,3,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",5 (most),2,4,3,1 (least),Regularly (~weekly),Regularly (~weekly),Never,Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Regularly (~weekly),Never,Never,Never,Never,Never,,3,"numpy, pandas, dask",Better support for loading/saving HDF5. Better support for complex and structured dtypes.,Very useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Not relevant,Not relevant,Somewhat useful,Not interested,Somewhat interested,Very interested,Not interested,Very interested,Jagged arrays
6/1/2022 14:39:24,Domain scientist / researcher,Psychology,Twitter,Regularly (~weekly),1,2,3,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,1 (least),3,2,Most days,Most days,Never,Never,Most days,Most days,Never,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),CSV,3,"numpy, scikit-image, scipy, matplotlib, pymc3, arviz, veusz",,Critical,Very useful,Somewhat useful,Very useful,Somewhat useful,Critical,Not relevant,Not relevant,Very useful,Somewhat useful,Not relevant,Somewhat useful,Not interested,Not interested,Not interested,Very interested,Not interested,
6/1/2022 15:13:00,"Domain scientist / researcher, Software engineer / developer",Finance,GitHub,Regularly (~weekly),3,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",5 (most),3,1 (least),4,2,Most days,Never,Never,Never,Most days,Most days,Never,Most days,Never,Never,Never,Never,Most days,Never,Never,Never,Regularly (~weekly),Never,,4,"numba, pandas","better typing and basic support for ""shallow"" subclassing of DataArray, i.e. methods of 
```class MyDataArray(DataArray): pass```
should return MyDataArray instead of plain DataArray",Very useful,Somewhat useful,Not relevant,Very useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Not relevant,Not relevant,Critical,Somewhat interested,Very interested,Not interested,Not interested,Not interested,
6/1/2022 15:15:38,"Domain scientist / researcher, Software engineer / developer","Geosciences, Statistics & Machine Learning",Mailing list,Regularly (~weekly),4,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),2,1 (least),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,,3,"dask, pandas, rasterio, numpy, scipy",,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,
6/1/2022 15:17:40,"Domain scientist / researcher, Data scientist","Geosciences, Statistics & Machine Learning",Twitter,Most days,2,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",4,5 (most),1 (least),3,2,Regularly (~weekly),Most days,Never,Never,Most days,Most days,Most days,Most days,Most days,Never,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Regularly (~weekly),,,4,"Scikit-learn, tensorflow, numpy",,,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,,Very useful,Critical,Somewhat useful,Somewhat interested,,Somewhat interested,,,
6/1/2022 15:22:24,"Domain scientist / researcher, Software engineer / developer",Geosciences,GitHub,Regularly (~weekly),3,2,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,3,2,1 (least),Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"matplotlib, numpy, pandas",,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very interested,Somewhat interested,Very interested,Somewhat interested,,
6/1/2022 15:52:56,Software engineer / developer,Geosciences,Joe Hamman,Most days,2,2,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev)",3,5 (most),4,2,1 (least),Most days,,,Most days,Most days,Regularly (~weekly),,Regularly (~weekly),Most days,,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,,,"xarray-schema, xpersist, prefect, dask",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Not relevant,Very useful,Not relevant,Very useful,Somewhat useful,Somewhat useful,Not interested,Not interested,Very interested,Somewhat interested,Not interested,
6/1/2022 15:57:14,Domain scientist / researcher,Geosciences,Joseph J. Hamman,Occasionally (~monthly),7,1,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,5 (most),1 (least),2,3,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,,4,geopandas; gdal; pandas; matplotlib; shapely; rio; rioxarray,"documentation. [but that's on me, right? I should contribute...]",Not relevant,Very useful,Very useful,Not relevant,Somewhat useful,,,,Very useful,Very useful,,,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,,
6/1/2022 17:01:39,Domain scientist / researcher,Geosciences,Twitter,Most days,1,2,2,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,5 (most),4,2,1 (least),Regularly (~weekly),Never,Occasionally (~monthly),Never,Most days,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"Numpy, scipy,  cartopy, xesmf",,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not interested,Not interested,Somewhat interested,Not interested,Not interested,
6/1/2022 17:04:05,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Twitter,Most days,4,4,3,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",4,5 (most),2,1 (least),3,Most days,Never,Never,Regularly (~weekly),Most days,Most days,Never,Most days,Most days,Occasionally (~monthly),Never,Never,Never,Never,Occasionally (~monthly),Never,Regularly (~weekly),,,3,"dask, fsspec, gcsfs, zarr, scikit-learn, tensorflow, matplotlib",Faster groupby calculations.,Critical,Somewhat useful,Not relevant,Somewhat useful,Critical,Very useful,Somewhat useful,Critical,Not relevant,Not relevant,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Not interested,,
6/1/2022 18:28:54,Student,Geosciences,Twitter,Most days,1,3,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",5 (most),4,1 (least),3,2,Most days,Regularly (~weekly),Never,Never,Most days,Most days,Most days,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,4,,,Not relevant,"Somewhat useful, Very useful",Somewhat useful,Very useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Not relevant,Somewhat useful,Not relevant,Somewhat useful,,,,,,
6/1/2022 19:23:13,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Twitter,Regularly (~weekly),1,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (reading past issues)",4,3,5 (most),1 (least),2,Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,,,"Dask, rioxarray, hvplot",,"Not relevant, Somewhat useful",Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Not relevant,Somewhat useful,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Not interested,Not interested,
6/1/2022 19:54:19,Data scientist,Geosciences,Pangeo,Most days,4,2,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",3,5 (most),4,2,1 (least),Occasionally (~monthly),Most days,Never,Most days,Most days,Most days,,,Most days,,Most days,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),,,Occasionally (~monthly),Occasionally (~monthly),"Other science formats, astrophysics etc.",4,"rioxarray, pyvista, dask, pandas",more constructor clarity and tricks,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,
6/1/2022 19:59:45,"Educator, Domain scientist / researcher",Geosciences,Twitter,Most days,3,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",5 (most),4,3,1 (least),2,Never,Occasionally (~monthly),Most days,Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Never,Never,Most days,Most days,Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"dask, gdal, numpy, scipy, matplotlib, pandas, shapely, skimage, pickle, astropy ",More xarray functions that mimic numpy functions. Increased functionality for interpolations and convolutions like astropy. ,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Critical,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not interested,Very interested,Somewhat interested,Not interested,Not interested,
6/1/2022 21:42:24,Domain scientist / researcher,Geosciences,Mailing list,Regularly (~weekly),4,3,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",4,5 (most),1 (least),2,3,Occasionally (~monthly),Most days,Never,Never,Most days,Never,Never,Most days,Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,,4,"pandas, cartopy",better documentation,Somewhat useful,Critical,Critical,Somewhat useful,Somewhat useful,Very useful,Not relevant,Very useful,Critical,Critical,Not relevant,Somewhat useful,Not interested,Not interested,Not interested,Very interested,Not interested,
6/1/2022 22:24:32,Software engineer / developer,Weather & Climate,Pangeo Forum,Regularly (~weekly),2,2,4,Yes,Documentation (https://docs.xarray.dev/),5 (most),4,2,3,1 (least),Regularly (~weekly),Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,4,"Dask, Zarr, Pandas",n/a,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Not interested,Very interested,Somewhat interested,Not interested,Not interested,
6/1/2022 22:44:08,"Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Twitter,Most days,5,3,3,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,5 (most),1 (least),2,4,Regularly (~weekly),Most days,Occasionally (~monthly),Never,Most days,Most days,Most days,Most days,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Most days,,,3,"scikit-learn, tensorflow, wrf-python, cfgrib, matplotlib, cartopy",,"Very useful, Critical",Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,,
6/1/2022 22:53:54,Domain scientist / researcher,Geosciences,Friend,Most days,3,2,3,Yes,Stack Overflow #python-xarray tag,5 (most),4,1 (least),3,2,Regularly (~weekly),Never,Most days,Never,Most days,Never,Occasionally (~monthly),Most days,Never,Never,Never,Never,,,,,,,,0,"pandas, scipy",,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Critical,Critical,Critical,Critical,Critical,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,
6/1/2022 23:12:09,"Student, Domain scientist / researcher, Data scientist",Finance,GitHub,Never,0,0,0,Yes,Documentation (https://docs.xarray.dev/),5 (most),4,3,2,1 (least),Most days,,,Occasionally (~monthly),Most days,Occasionally (~monthly),,,,,,,,,,,Most days,,,4,"scikit-learn, pandas",speed,Critical,Somewhat useful,Very useful,Very useful,Very useful,Critical,Critical,Somewhat useful,Somewhat useful,Critical,Critical,Very useful,,Very interested,,,,
6/2/2022 0:18:05,Domain scientist / researcher,Geosciences,Mailing list,Regularly (~weekly),6,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",2,1 (least),,,3,Regularly (~weekly),,,,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),,,Occasionally (~monthly),,,,,,,,,3,"Pandas, matplotlub, numpy",Changes that allow it to work with cyclic coordinates. Slice that is insensitive to coord direction ,Somewhat useful,Very useful,,Somewhat useful,Not relevant,Very useful,Not relevant,Not relevant,Not relevant,Very useful,Not relevant,Not relevant,,,,,,
6/2/2022 0:27:00,"Data scientist, Software engineer / developer",Geosciences,Mailing list,Most days,3,2,4,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",2,5 (most),3,1 (least),4,Occasionally (~monthly),Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),,,3,dask gdal,dates that have milliseconds randomly added are very annoying (I was very happy with datetime),Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very interested,Very interested,Very interested,Somewhat interested,,
6/2/2022 0:28:25,"Student, Domain scientist / researcher",Geosciences,Twitter,Most days,4,3,2,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",3,5 (most),4,1 (least),2,Most days,Never,Occasionally (~monthly),Never,Most days,Regularly (~weekly),,Most days,,,,,,,,,,,,3,"dask, cf_xarray",,,,,Somewhat useful,Very useful,,Very useful,,Very useful,,,,Very interested,Not interested,Very interested,Very interested,,
6/2/2022 1:03:17,"Student, Educator, Domain scientist / researcher",Geosciences,Mailing list,Most days,5,3,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,2,1 (least),Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),"Gridded text files (e.g., https://nsidc.org/data/g02158)",1,"dask, pandas, proplot, numpy, scipy, matplotlib, cartopy, xesmf","Read data that exceed usual time dimension (for past thousand year for exemple in netCDF counted in seconds, it does not fit in the actual format in 64 bits or something like this). Read HDF or gridded text files. Make interpolation directly with xESMF. Make easier taking into account the weights of latitudes/longitudes or days in months (it's already way better with .weighted() but does not work with all operations, like resample from what I remember). Try to take into account units, and raise warning about that. Same for time dimensions... it's easy to miss some days/months if we don't make a check by hand to count the number of months/days in the period we study (cause xarray, just ignore missing files and does not create index pour missing days/months with nans, so need to reindex and check that... it would be good to have some warning when data does not cover all time period, when opening with open_mfdataset). ",Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not relevant,Very useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Not interested,Not interested,Very interested,Not interested,Not interested,
6/2/2022 2:04:02,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Mailing list,Most days,8,3,4,Yes,Documentation (https://docs.xarray.dev/),3,5 (most),4,2,1 (least),Most days,Most days,Regularly (~weekly),Regularly (~weekly),Most days,Regularly (~weekly),Never,Most days,Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,4,dask cfgrib,,Somewhat useful,Very useful,Not relevant,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,,Not relevant,Critical,Critical,Somewhat interested,Very interested,Very interested,Somewhat interested,,
6/2/2022 2:06:29,"Data scientist, Software engineer / developer",Material science,GitHub,Regularly (~weekly),1,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),1 (least),2,3,4,Most days,Most days,Never,Never,Most days,Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),,Never,Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Never,,4,"pandas,weldx,",easier or more intuitive interface to apply_ufunc ,Not relevant,Somewhat useful,Very useful,Very useful,Not relevant,Somewhat useful,Very useful,Not relevant,Critical,Very useful,Somewhat useful,Not relevant,Not interested,Somewhat interested,Somewhat interested,Very interested,,
6/2/2022 2:56:49,"Data scientist, Software engineer / developer",Climate Science,Mailing list,Regularly (~weekly),4,3,3,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",5 (most),3,1 (least),4,2,Regularly (~weekly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"pandas, pint, pint_xarray, numpy, matplotlib",easier / clearer way to pre-allocate DataArrays and fill them with correct data later.,Critical,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Not relevant,Somewhat useful,Not interested,Somewhat interested,Somewhat interested,Very interested,Not interested,
6/2/2022 2:56:57,Domain scientist / researcher,Geosciences,Mailing list,Most days,2,3,3,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",2,4,5 (most),1 (least),3,Regularly (~weekly),Most days,Most days,Never,Most days,Regularly (~weekly),Never,Regularly (~weekly),Most days,Never,Never,Never,Regularly (~weekly),Never,Never,Never,Never,Never,,3,dask,,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Not relevant,Somewhat useful,Very useful,Not relevant,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,
6/2/2022 3:36:15,"Student, Domain scientist / researcher","Biosciences, Geosciences",Twitter,Regularly (~weekly),0,1,3,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag",4,5 (most),2,1 (least),3,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,,,3,Netcdf,,Not relevant,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Very useful,Not relevant,Very useful,Not relevant,Not relevant,Not interested,Not interested,Not interested,Not interested,,
6/2/2022 3:49:12,Domain scientist / researcher,Geosciences,Mailing list,Most days,7,3,3,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue)",5 (most),4,1 (least),3,2,Most days,,Occasionally (~monthly),Occasionally (~monthly),Most days,Regularly (~weekly),Most days,Most days,Occasionally (~monthly),Never,Never,Never,Most days,Never,Never,Never,Never,,,3,"argopy, pandas, matplotlib, pyarrow",,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Critical,,Very useful,Critical,Critical,Not interested,Very interested,,,,
6/2/2022 4:15:48,Domain scientist / researcher,"Biosciences, Neuroscience",Twitter,Most days,4,2,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,1 (least),2,3,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),,Most days,Most days,Never,Never,Most days,Never,Never,Never,Most days,Never,Most days,Never,Most days,Never,,3,"scikit-learn, zarr, tensorflow",,Somewhat useful,Very useful,Very useful,Critical,Critical,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,"Very useful, Critical",Somewhat interested,Very interested,Somewhat interested,Somewhat interested,,
6/2/2022 4:57:06,Domain scientist / researcher,Plasma physics,GitHub,Most days,1,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),1 (least),4,2,3,Most days,Most days,Never,Never,Most days,Regularly (~weekly),Never,Never,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,4,"dask, pandas, joblib",Unit support! https://github.com/pydata/xarray/issues/525,Somewhat useful,Very useful,Not relevant,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Critical,Not relevant,Not relevant,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,astropy.units.Quantity
6/2/2022 5:07:01,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),6,3,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,5 (most),3,2,1 (least),Regularly (~weekly),Never,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"Dask, scipy, pymc3",Multidimensional interpolation,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested,Ragged arrays
6/2/2022 5:18:06,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Twitter,Most days,4,3,2,Yes,"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),2,4,3,1 (least),Regularly (~weekly),Most days,Most days,Never,Most days,Regularly (~weekly),Most days,Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Never,Never,Never,,4,"dask, rasterio, pandas, geopandas","regridding, statistical down/upsampling",Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,"Somewhat useful, Very useful",Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,
